DATA;LOTE/SUB/DOC/LINHA;HISTORICO;C/PARTIDA;FILIAL DE ORIGEM;C CUSTO;ITEM CONTA;DIVISAO;DEBITO;CREDITO
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112010                       - BANCO BRADESCO;SALDO ANTERIOR:            3.426,73 D;;;;;;;;
;;;;;;;;;
10/02/21;1,1E+15;TAR PACOTE MENSAL BASICO II;52111003;1;;;;0;20,06586826
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112011                       - BANCO ITAU  AG. 8499 CC. 247909;SALDO ANTERIOR:           50.319,26 D;;;;;;;;
;;;;;;;;;
10/02/21;;DISTRIBUIDORA DE TECNO;;;;;;;
10/02/21;1,1E+15;PGTO. NF  000000169 - ESCRIBAS PORTAL DE;;1;;;;0;778,4431138
10/02/21;; CONTEUDO EIRELI;;;;;;;
10/02/21;1,1E+15;PGTO. NF  000000185 - WAGNER DA SILVA LO;;1;;;;0;664,6706587
10/02/21;;PES  MEI;;;;;;;
10/02/21;1,1E+15;PGTO. NF  000000348 - P7 ENGENHARIA LTDA;;1;;;;0;598,8023952
10/02/21;1,1E+15;PGTO. NF  000000349 - P7 ENGENHARIA LTDA;;1;;;;0;212,7449102
10/02/21;1,1E+15;PGTO. NF  000025787 - LAAOS CORPORATIVOS;;1;;;;0;47,78443114
10/02/21;1,1E+15;PGTO. FT  000285653 - TOLEDO FERRARI PAT;;1;;;;0;11632,52814
10/02/21;;RIMONIAL S.A.;;;;;;;
10/02/21;1,1E+15;PGTO NF 025012021 MUNICIPIO;;1;;;;0;7,141317365
10/02/21;1,1E+15;PGTO NF 000287862 MUNICIPIO;;1;;;;0;11,2
10/02/21;1,1E+15;PGTO NF 000202014 MUNICIPIO;;1;;;;0;26,58562874
10/02/21;1,1E+15;PGTO NF 000286066 MUNICIPIO;;1;;;;0;49,18443114
10/02/21;1,1E+15;PGTO NF ISS212001 MUNICIPIO;;1;;;;0;444,0311377
10/02/21;1,1E+15;PGTO NF ISS202101 MUNICIPIO;;1;;;;0;1145,002395
10/02/21;1,1E+15;PGTO NF 000287081 MUNICIPIO;;1;;;;0;3644,221557
10/02/21;1,1E+15;PGTO NF 002285246 MUNICIPIO;;1;;;;0;2383,197605
10/02/21;1,1E+15;CH. ON10022021 ISS 000000041 MUNICIPIO;;1;;;;0;38,56287425
10/02/21;1,1E+15;CH. ON10022021 ISS 000000042 MUNICIPIO;;1;;;;0;93,81796407
10/02/21;1,1E+15;CH. ON10022021 ISS 000000043 MUNICIPIO;;1;;;;0;33,96167665
10/02/21;1,1E+15;CH. ON10022021 ISS 000000054 MUNICIPIO;;1;;;;0;40,71856287
10/02/21;1,1E+15;CH. ON10022021 ISS 000000097 MUNICIPIO;;1;;;;0;39,52095808
10/02/21;1,1E+15;CH. ON10022021 ISS 000000176 MUNICIPIO;;1;;;;0;18,3005988
10/02/21;1,1E+15;CH. ON10022021 ISS 000001233 MUNICIPIO;;1;;;;0;6,311377246
10/02/21;1,1E+15;CH. ON10022021 ISS 000012021 MUNICIPIO;;1;;;;0;48,12215569
10/02/21;1,1E+15;CH. ON10022021 ISS 000012021 MUNICIPIO;;1;;;;0;37,11257485
10/02/21;1,1E+15;CH. ON10022021 ISS 000020211 MUNICIPIO;;1;;;;0;277,8443114
10/02/21;1,1E+15;CH. ON10022021 ISS 000020211 MUNICIPIO;;1;;;;0;23,60479042
10/02/21;1,1E+15;CH. ON10022021 ISS 000020211 MUNICIPIO;;1;;;;0;23,95209581
10/02/21;1,1E+15;CH. ON10022021 ISS 000021375 MUNICIPIO;;1;;;;0;65,2
10/02/21;1,1E+15;CH. ON10022021 ISS 000021376 MUNICIPIO;;1;;;;0;1,585628743
10/02/21;1,1E+15;CH. ON10022021 ISS 000030530 MUNICIPIO;;1;;;;0;9,582035928
10/02/21;1,1E+15;CH. ON10022021 ISS 000031281 MUNICIPIO;;1;;;;0;13,12215569
10/02/21;1,1E+15;CH. ON10022021 ISS 000031282 MUNICIPIO;;1;;;;0;53,55688623
10/02/21;1,1E+15;CH. ON10022021 ISS 000152731 MUNICIPIO;;1;;;;0;5,143712575
10/02/21;1,1E+15;CH. ON10022021 ISS 000152732 MUNICIPIO;;1;;;;0;6,876646707
10/02/21;1,1E+15;005 RESGATE CDB;;1;;;;25952,62635;0
;;;;;;;;;
11/02/21;1,1E+15;FT OP-TES;;1;;;;0;1307544,91
11/02/21;1,1E+15;PGTO NF 000288847 RPB 01 ADMINISTRACAO;;1;;;;0;4147,213174
11/02/21;1,1E+15;007 RESGATE CDB;;1;;;;19832,60359;0
11/02/21;1,1E+15;TED 033.2271AVL APLICATI;;1;;;;1725988,024;0
11/02/21;1,1E+15;PGTO NF 000288850 RPB 02 ADMINISTRACAO;;1;;;;0;7660,876647
11/02/21;1,1E+15;PGTO. RESCISAO;21115010;1;;;;0;187,3221557
11/02/21;1,1E+15;PGTO. RESCISAO;21115010;1;;;;0;626,960479
11/02/21;1,1E+15;PGTO. RESCISAO;21115010;1;;;;0;1788,77006
11/02/21;1,1E+15;ADTO. SALARIO;11319003;1;;;;0;53227,33054
11/02/21;1,1E+15;ADTO. SALARIO;11319003;1;;;;0;352035,6072
